  
       XFOIL         Version 6.99
  
 Calculated polar for: tped077d64_4c90_4a59_af4e_69426b7f19c2          
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     5.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000   0.1363   0.00633   0.00170  -0.1602   0.7453   0.0127
  -4.750   0.1648   0.00625   0.00161  -0.1605   0.7371   0.0169
  -4.500   0.1940   0.00612   0.00151  -0.1609   0.7314   0.0257
  -4.250   0.2228   0.00600   0.00142  -0.1613   0.7240   0.0401
  -4.000   0.2517   0.00583   0.00132  -0.1617   0.7176   0.0638
  -3.750   0.2805   0.00562   0.00122  -0.1622   0.7103   0.1053
  -3.500   0.3092   0.00537   0.00112  -0.1627   0.7032   0.1581
  -3.250   0.3382   0.00518   0.00105  -0.1632   0.6968   0.2055
  -3.000   0.3669   0.00511   0.00102  -0.1636   0.6893   0.2310
  -2.750   0.3962   0.00503   0.00100  -0.1640   0.6832   0.2542
  -2.500   0.4247   0.00498   0.00098  -0.1643   0.6745   0.2833
  -2.250   0.4539   0.00487   0.00097  -0.1648   0.6688   0.3216
  -2.000   0.4826   0.00489   0.00098  -0.1651   0.6608   0.3311
  -1.750   0.5118   0.00488   0.00097  -0.1655   0.6554   0.3420
  -1.500   0.5405   0.00492   0.00099  -0.1658   0.6481   0.3471
  -1.250   0.5694   0.00492   0.00100  -0.1662   0.6412   0.3571
  -0.750   0.6267   0.00498   0.00103  -0.1668   0.6262   0.3737
  -0.500   0.6552   0.00501   0.00105  -0.1670   0.6185   0.3828
  -0.250   0.6836   0.00504   0.00108  -0.1673   0.6103   0.3921
   0.000   0.7114   0.00510   0.00112  -0.1674   0.5998   0.4016
   0.250   0.7397   0.00514   0.00115  -0.1676   0.5906   0.4107
   0.500   0.7674   0.00520   0.00119  -0.1677   0.5798   0.4226
   0.750   0.7951   0.00526   0.00124  -0.1678   0.5699   0.4352
   1.000   0.8230   0.00531   0.00129  -0.1680   0.5602   0.4494
   1.250   0.8502   0.00538   0.00135  -0.1680   0.5478   0.4645
   1.500   0.8768   0.00548   0.00142  -0.1679   0.5329   0.4810
   1.750   0.9032   0.00558   0.00150  -0.1678   0.5173   0.4991
   2.000   0.9296   0.00568   0.00158  -0.1677   0.5028   0.5208
   2.250   0.9559   0.00578   0.00168  -0.1675   0.4884   0.5429
   2.500   0.9820   0.00589   0.00177  -0.1674   0.4742   0.5651
   2.750   1.0084   0.00599   0.00187  -0.1672   0.4625   0.5862
   3.250   1.0585   0.00630   0.00211  -0.1665   0.4285   0.6226
   3.500   1.0818   0.00653   0.00227  -0.1657   0.4046   0.6370
   3.750   1.1048   0.00677   0.00244  -0.1649   0.3820   0.6531
   4.000   1.1284   0.00698   0.00260  -0.1642   0.3632   0.6689
   4.250   1.1512   0.00720   0.00278  -0.1634   0.3444   0.6823
   4.500   1.1727   0.00748   0.00297  -0.1622   0.3227   0.6915
   4.750   1.1915   0.00785   0.00322  -0.1606   0.2931   0.6999
   5.000   1.2065   0.00821   0.00347  -0.1581   0.2650   0.7084
   5.250   1.2242   0.00857   0.00373  -0.1562   0.2397   0.7167
   5.500   1.2428   0.00894   0.00400  -0.1545   0.2174   0.7257
   5.750   1.2621   0.00928   0.00427  -0.1530   0.1987   0.7331
   6.000   1.2821   0.00960   0.00454  -0.1517   0.1825   0.7415
   6.250   1.3025   0.00992   0.00480  -0.1504   0.1684   0.7485
   6.500   1.3221   0.01025   0.00508  -0.1490   0.1550   0.7565
   6.750   1.3416   0.01058   0.00537  -0.1476   0.1427   0.7639
   7.000   1.3611   0.01093   0.00567  -0.1463   0.1305   0.7722
   7.250   1.3795   0.01133   0.00601  -0.1447   0.1170   0.7804
   7.500   1.3972   0.01173   0.00638  -0.1431   0.1047   0.7912
   7.750   1.4166   0.01208   0.00671  -0.1417   0.0975   0.8010
   8.000   1.4364   0.01242   0.00703  -0.1405   0.0901   0.8121
   8.500   1.4737   0.01315   0.00780  -0.1377   0.0771   0.8560
   8.750   1.4871   0.01338   0.00824  -0.1352   0.0684   1.0000
   9.000   1.5043   0.01385   0.00868  -0.1336   0.0630   1.0000
   9.250   1.5216   0.01433   0.00912  -0.1321   0.0570   1.0000
   9.500   1.5407   0.01473   0.00952  -0.1309   0.0546   1.0000
   9.750   1.5565   0.01529   0.01005  -0.1292   0.0500   1.0000
  10.000   1.5742   0.01575   0.01050  -0.1278   0.0467   1.0000
