  
       XFOIL         Version 6.99
  
 Calculated polar for: tpb6c59d44_34d7_4458_aa9b_9a5010ff4e6c          
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     2.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000   0.1348   0.00710   0.00204  -0.1596   0.7911   0.0206
  -4.750   0.1631   0.00693   0.00190  -0.1599   0.7841   0.0328
  -4.500   0.1916   0.00673   0.00176  -0.1603   0.7781   0.0545
  -4.250   0.2199   0.00641   0.00160  -0.1607   0.7715   0.1023
  -4.000   0.2479   0.00607   0.00145  -0.1611   0.7648   0.1654
  -3.750   0.2765   0.00581   0.00135  -0.1616   0.7580   0.2192
  -3.500   0.3046   0.00571   0.00130  -0.1619   0.7505   0.2496
  -3.250   0.3337   0.00561   0.00125  -0.1623   0.7443   0.2730
  -3.000   0.3619   0.00555   0.00123  -0.1625   0.7370   0.3000
  -2.750   0.3909   0.00546   0.00121  -0.1630   0.7307   0.3318
  -2.500   0.4192   0.00544   0.00121  -0.1632   0.7231   0.3518
  -2.250   0.4479   0.00544   0.00120  -0.1635   0.7166   0.3608
  -2.000   0.4765   0.00544   0.00119  -0.1638   0.7096   0.3693
  -1.750   0.5049   0.00546   0.00120  -0.1640   0.7030   0.3780
  -1.500   0.5336   0.00546   0.00120  -0.1643   0.6960   0.3883
  -1.250   0.5616   0.00549   0.00121  -0.1644   0.6886   0.3986
  -1.000   0.5903   0.00550   0.00122  -0.1647   0.6817   0.4095
  -0.750   0.6180   0.00553   0.00124  -0.1648   0.6742   0.4212
  -0.500   0.6468   0.00553   0.00126  -0.1651   0.6681   0.4335
  -0.250   0.6744   0.00557   0.00129  -0.1652   0.6604   0.4459
   0.000   0.7029   0.00557   0.00132  -0.1655   0.6539   0.4614
   0.250   0.7305   0.00560   0.00136  -0.1656   0.6460   0.4800
   0.500   0.7587   0.00561   0.00140  -0.1658   0.6390   0.4996
   0.750   0.7859   0.00565   0.00145  -0.1658   0.6301   0.5201
   1.000   0.8138   0.00567   0.00150  -0.1660   0.6216   0.5416
   1.250   0.8406   0.00573   0.00157  -0.1659   0.6117   0.5663
   1.500   0.8678   0.00578   0.00164  -0.1659   0.6020   0.5884
   1.750   0.8949   0.00583   0.00171  -0.1659   0.5927   0.6087
   2.000   0.9211   0.00592   0.00180  -0.1657   0.5814   0.6280
   2.250   0.9470   0.00603   0.00189  -0.1655   0.5682   0.6443
   2.500   0.9730   0.00614   0.00199  -0.1653   0.5551   0.6588
   2.750   0.9989   0.00626   0.00209  -0.1650   0.5426   0.6727
   3.000   1.0245   0.00638   0.00220  -0.1647   0.5303   0.6869
   3.250   1.0496   0.00652   0.00232  -0.1643   0.5176   0.7003
   3.750   1.0994   0.00682   0.00256  -0.1633   0.4932   0.7192
   4.000   1.1222   0.00703   0.00272  -0.1625   0.4748   0.7281
   4.250   1.1451   0.00724   0.00287  -0.1616   0.4574   0.7365
   4.500   1.1666   0.00747   0.00304  -0.1605   0.4389   0.7458
   4.750   1.1864   0.00769   0.00322  -0.1589   0.4217   0.7539
   5.000   1.2066   0.00795   0.00342  -0.1575   0.4036   0.7622
   5.250   1.2264   0.00827   0.00366  -0.1561   0.3824   0.7701
   5.500   1.2447   0.00867   0.00395  -0.1544   0.3559   0.7786
   5.750   1.2611   0.00915   0.00430  -0.1523   0.3249   0.7872
   6.000   1.2772   0.00965   0.00467  -0.1502   0.2943   0.7963
   6.250   1.2928   0.01016   0.00507  -0.1481   0.2655   0.8069
   6.500   1.3099   0.01061   0.00543  -0.1463   0.2423   0.8186
   6.750   1.3265   0.01108   0.00583  -0.1444   0.2204   0.8318
   7.000   1.3433   0.01154   0.00623  -0.1425   0.2009   0.8486
   7.250   1.3601   0.01196   0.00664  -0.1407   0.1832   0.8755
   7.500   1.3724   0.01218   0.00701  -0.1378   0.1689   1.0000
   7.750   1.3892   0.01269   0.00744  -0.1361   0.1546   1.0000
   8.000   1.4059   0.01321   0.00789  -0.1344   0.1404   1.0000
   8.250   1.4211   0.01380   0.00840  -0.1324   0.1251   1.0000
   8.500   1.4368   0.01437   0.00891  -0.1306   0.1132   1.0000
   8.750   1.4534   0.01491   0.00940  -0.1290   0.1036   1.0000
   9.000   1.4690   0.01550   0.00995  -0.1272   0.0948   1.0000
   9.250   1.4860   0.01603   0.01045  -0.1257   0.0880   1.0000
   9.500   1.5009   0.01667   0.01105  -0.1239   0.0796   1.0000
   9.750   1.5174   0.01724   0.01161  -0.1224   0.0748   1.0000
  10.000   1.5320   0.01792   0.01226  -0.1206   0.0677   1.0000
